endTime,artistName,trackName,msPlayed
2021-02-26 07:59,5 Seconds of Summer,Ghost Of You,35675
2021-02-26 08:03,Harry Styles,Falling,240133
2021-02-26 08:03,Maximillian,Beautiful Scars,25427
2021-02-26 08:07,Troye Sivan,Strawberries & Cigarettes,201538
2021-02-26 08:08,IU,eight(Prod.&Feat. SUGA of BTS),59790
2021-02-26 14:39,BTS,Life Goes On,207481
2021-02-26 14:43,Jawsh 685,Savage Love (Laxed – Siren Beat) [BTS Remix],1050
2021-02-26 14:43,BTS,Dynamite,197643
2021-02-26 14:59,BTS,ON,246380
2021-02-26 15:03,BTS,Boy With Luv (feat. Halsey),229773
2021-02-26 15:07,BTS,Fly To My Room,222242
2021-02-26 15:13,BTS,Stay,204800
2021-02-26 15:18,BTS,Blue & Grey,254950
2021-02-26 15:22,BTS,Telepathy,202313
2021-02-26 15:44,BTS,Dis-ease,238962
2021-02-27 00:50,DAVICHI,8282,219160
2021-02-27 00:50,DAVICHI,여자이니까,0
2021-02-27 00:54,DAVICHI,This Love,225171
2021-02-27 01:25,DAVICHI,Sunset,216734
2021-02-27 01:28,DAVICHI,My Love,142497
2021-02-27 01:32,Jung Joon Young,Emergency Room,243542
2021-02-27 03:44,Taylor Swift,willow,214693
2021-02-27 03:49,Lauv,Modern Loneliness,252337
2021-02-27 03:53,Lewis Capaldi,Before You Go,215064
2021-02-27 03:55,Jeremy Zucker,"always, i'll care",146147
2021-02-27 04:06,FINNEAS,What They'll Say About Us,39489
2021-02-27 04:44,FINNEAS,What They'll Say About Us,148325
2021-02-27 04:49,Coldplay,Everyday Life,258532
2021-02-27 04:52,Lauv,Love Like That,184553
2021-02-27 04:53,Hiphop Tamizha,Net Ah Thorandha,15878
2021-02-27 04:53,Gracie Abrams,Friend,42369
2021-02-27 04:56,G. V. Prakash,Aagasam,49883
2021-02-27 05:00,Anirudh Ravichander,Kutti Story,228733
2021-02-27 05:01,G. V. Prakash,"Kaathodu Kaathanen (From ""Jail"")",32452
2021-02-27 05:01,Ilaiyaraaja,Neenga Mudiyuma,11900
2021-02-27 05:04,Leon James,Marappadhilai Nenje - Additional Song,171435
2021-02-27 05:05,Anirudh Ravichander,"Nenjame (From ""Doctor"")",27880
2021-02-27 05:09,BTS,We are Bulletproof : the Eternal,261542
2021-02-27 05:09,IU,eight(Prod.&Feat. SUGA of BTS),12613
2021-02-27 06:53,Urban Zakapa,Nearness is to love,15610
2021-02-27 06:58,RADWIMPS,Zenzenzense - movie ver.,285880
2021-02-27 07:02,BTS,Inner Child,233265
2021-02-27 07:06,BTS,Stigma,216063
2021-02-27 07:11,RADWIMPS,Nandemonaiya - movie ver.,344053
2021-02-27 07:15,BTS,Intro: Singularity,196998
2021-02-27 07:18,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019
2021-02-27 07:22,BTS,Inner Child,233265
2021-02-27 07:31,RADWIMPS,Sparkle - movie ver.,537653
2021-02-27 07:35,BTS World,Flying (Taehyung Theme) [BTS World Original Soundtrack],216086
2021-02-27 07:39,BTS,Blue & Grey,254950
2021-02-27 07:43,BTS,Inner Child,233265
2021-02-27 07:47,RADWIMPS,Theme of Mitsuha,246146
2021-02-27 07:50,RADWIMPS,Katawaredoki,170026
2021-02-27 07:54,RADWIMPS,Nandemonaiya - movie edit.,196906
2021-02-27 07:57,BTS,Inner Child,233265
2021-02-27 08:01,BTS,Intro: Singularity,196998
2021-02-27 08:04,BTS,Stigma,216063
2021-02-27 08:08,V,It's Definitely You,230693
2021-02-27 08:12,BTS,Blue & Grey,254950
2021-02-27 08:14,RADWIMPS,First view of tokyo,79800
2021-02-27 08:16,RADWIMPS,Dream lantern,131666
2021-02-27 08:19,RADWIMPS,Unusual changes of two,156746
2021-02-27 08:23,BTS,Inner Child,233265
2021-02-27 08:26,BTS,Friends,199338
2021-02-27 08:30,RADWIMPS,Date,245906
2021-02-27 08:33,RADWIMPS,Date 2,129013
2021-02-27 08:37,BTS,ON,246380
2021-02-27 08:41,BTS,Blue & Grey,254950
2021-02-27 08:45,IU,eight(Prod.&Feat. SUGA of BTS),9770
2021-02-27 08:45,V,Sweet Night,214258
2021-02-27 08:46,RADWIMPS,First view of tokyo,79800
2021-02-27 08:50,RADWIMPS,Dream lantern,153191
2021-02-27 08:53,RADWIMPS,Unusual changes of two,156746
2021-02-27 11:15,BTS,Inner Child,123364
2021-02-28 05:17,Will Bug,You’re beautiful,151153
2021-02-28 05:18,Rachael Yamagata,"We Could Still Be Happy [From 'One Spring Night' (Original Television Soundtrack), Pt. 4]",37701
2021-02-28 05:20,Will Bug,You’re beautiful,151153
2021-02-28 05:21,Elaine,Just Between Lovers Title,51967
2021-02-28 05:26,Before You Exit,Clouds,271846
2021-02-28 05:26,Tearliner,Blooming Story (Feat. Jo Hae Jin),5203
2021-02-28 06:54,Roy Kim,Only Then,248835
2021-02-28 06:58,Roy Kim,Only Then - Inst. with Chorus,248835
2021-02-28 06:59,Roy Kim,Gravity,42043
2021-02-28 07:02,Roy Kim,Stay with Me,175148
2021-02-28 07:03,Roy Kim,Fix You,17711
2021-02-28 07:23,RADWIMPS,Zenzenzense - movie ver.,285880
2021-02-28 07:27,BTS,Inner Child,233265
2021-02-28 07:30,BTS,Stigma,216063
2021-02-28 07:36,RADWIMPS,Nandemonaiya - movie ver.,344053
2021-02-28 07:39,BTS,Intro: Singularity,196998
2021-02-28 07:43,BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],205019
2021-02-28 07:47,BTS,Inner Child,233265
2021-02-28 08:49,RADWIMPS,Sparkle - movie ver.,537653
2021-02-28 08:54,BTS World,Flying (Taehyung Theme) [BTS World Original Soundtrack],216086
2021-02-28 08:58,BTS,Blue & Grey,254950
2021-02-28 09:29,BTS,Inner Child,233265
2021-02-28 09:33,RADWIMPS,Theme of Mitsuha,246146
2021-02-28 09:36,RADWIMPS,Katawaredoki,170026
2021-02-28 09:40,RADWIMPS,Nandemonaiya - movie edit.,196906
2021-02-28 09:44,BTS,Inner Child,233265
2021-02-28 09:47,BTS,Intro: Singularity,196998
2021-02-28 09:50,BTS,Stigma,216063
2021-02-28 09:54,V,It's Definitely You,230693
2021-02-28 09:59,BTS,Blue & Grey,254950
2021-02-28 10:00,RADWIMPS,First view of tokyo,79800
2021-02-28 10:02,RADWIMPS,Dream lantern,131666
2021-02-28 10:05,RADWIMPS,Unusual changes of two,156746
2021-02-28 10:09,BTS,Inner Child,233265
2021-02-28 10:12,BTS,Friends,199338
2021-02-28 10:17,RADWIMPS,Date,245906
2021-02-28 10:19,RADWIMPS,Date 2,129013
2021-02-28 10:23,BTS,ON,246380
2021-02-28 10:27,BTS,Blue & Grey,254950
2021-02-28 10:31,V,Sweet Night,214258
2021-02-28 10:35,Lauv,Modern Loneliness,19836
2021-02-28 10:35,RADWIMPS,We'll Be Alright (Movie Edit),258373
2021-02-28 11:22,NIKI,La La Lost You - Acoustic Version,5170
2021-02-28 17:40,IU,My old story,213810
2021-02-28 17:44,IU,Friday (feat.Jang Yi-jeong),217089
2021-02-28 17:48,IU,Shoes,215203
2021-02-28 17:51,IU,Twenty-three,10110
2021-02-28 17:51,IU,Black Out,23140
2021-02-28 17:51,IU,Between the lips (50cm),170714
2021-02-28 17:52,IU,Glasses,15327
2021-02-28 17:52,IU,Havana,6953
2021-02-28 17:52,IU,Love of B,3941
2021-02-28 17:52,IU,Modern Times,6261
2021-02-28 17:57,IU,Knees,282866
2021-02-28 17:58,IU,Hold my hand,49005
2021-03-01 01:32,IU,Hold my hand,8927
2021-03-01 01:35,IU,Hold my hand,184764
2021-03-01 01:39,IU,The shower,247106
2021-03-01 01:41,IU,Autumn morning,71526
2021-03-01 05:25,BTS,Stigma,216063
2021-03-01 05:39,BTS,First Love,185057
2021-03-01 05:41,Sammy Davis Jr.,Once in a Lifetime,132106
2021-03-01 05:52,Al Martino,Take My Heart - Remastered,189056
2021-03-01 05:55,Dean Martin,That's Amore - Remastered,188466
2021-03-01 05:58,James Smith,Just The Way You Are,156870
2021-03-01 06:04,Angel Snow,Hotel Rosario,252346
2021-03-01 06:09,Sammy Davis Jr.,Birth of the Blues,272533
2021-03-01 06:11,Jeremy Zucker,"always, i'll care",146160
2021-03-01 06:14,Frank Sinatra,Fly Me To The Moon (In Other Words),147000
2021-03-01 06:17,Perry Como,And I Love You So,197626
2021-03-01 06:26,Chet Baker,Blue room,520173
2021-03-01 06:30,Niall Horan,Put A Little Love On Me,224585
2021-03-01 06:32,Paul Anka,Put Your Head on My Shoulder,155080
2021-03-01 06:34,FINNEAS,Break My Heart Again,31714
2021-03-01 06:37,keshi,right here,195093
2021-03-01 06:40,Pink Sweat$,At My Worst,170344
2021-03-01 06:43,keshi,blue,178600
2021-03-01 06:47,RINI,My Favourite Clothes,257000
2021-03-01 06:51,H 3 F,How Can I,269302
2021-03-01 06:55,88rising,I Love You 3000 II,209642
2021-03-01 06:59,NIKI,La La Lost You - Acoustic Version,208510
2021-03-01 07:02,Finding Hope,3:00 AM,201951
2021-03-01 07:06,keshi,less of you,206893
2021-03-01 07:06,slchld,"she likes spring, I prefer winter",35781
2021-03-01 07:09,Pink Sweat$,17,160736
2021-03-01 07:33,LANY,good guys,10633
2021-03-01 07:38,RADWIMPS,Zenzenzense - movie ver.,285880
2021-03-01 07:42,BTS,Inner Child,233265
2021-03-01 08:28,BTS,Stigma,113277
2021-03-02 04:16,BTS,Intro: Singularity,196998
2021-03-02 04:20,BTS,FAKE LOVE,242333
2021-03-02 05:28,BTS,The Truth Untold,242292
2021-03-02 05:33,BTS,134340,230063
2021-03-02 05:51,BTS,Paradise,211223
2021-03-02 05:58,BTS,Love Maze,425495
2021-03-02 06:02,BTS,Magic Shop,275695
2021-03-02 06:06,BTS,Airplane pt.2,218614
2021-03-02 06:10,BTS,Anpanman,232966
2021-03-02 06:15,BTS,So What,281520
2021-03-02 06:20,BTS,Outro: Tear,284980
2021-03-02 06:24,BTS,Inner Child,233265
2021-03-02 06:25,Red Velvet,Psycho,23294
2021-03-02 06:29,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779
2021-03-02 06:34,Pritam,"Shayad (From ""Love Aaj Kal"")",247941
2021-03-02 06:38,Arijit Singh,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",264805
2021-03-02 06:42,Pritam,Haan Main Galat,218644
2021-03-02 06:46,Arijit Singh,Ve Maahi,223999
2021-03-02 07:33,Arijit Singh,"Thodi Jagah (From ""Marjaavaan"")",94352
2021-03-03 03:10,BTS,Intro: Singularity,196998
